-5.0888834;48.45666313;53310
-5.088006097;48.46286372;53383
-5.087987484;48.46291925;53384
-4.956661877;48.39722416;52550
-4.854164954;48.03805938;48530
-4.780107704;48.35407415;52065
-4.780099582;48.35411085;52066
-4.780000083;48.35417165;52070
-4.777776161;48.35472497;52076
-4.771695464;48.50420652;53853
-4.771673841;48.5042441;53854
-4.771661869;48.50416353;53849
-4.757493729;48.43083094;53001
-4.754169551;48.45416388;53279
-4.751936735;48.50333188;53838
-4.748945696;48.37001805;52225
-4.736739805;48.48749435;53663
-4.736730309;48.48752209;53665
-4.73639023;48.4502745;53223
-4.736368604;48.45031208;53227
-4.736231699;48.48819646;53667
-4.736104955;48.45027508;53224
-4.732037926;48.5380319;54367
-4.732028418;48.53805963;54371
-4.7319247;48.03863485;48546
-4.7227835;48.35083062;52036
-4.722745024;48.35066137;52034
-4.722656263;48.35070334;52035
-4.722649673;48.35065857;52033
-4.716363994;48.40723425;52666
-4.716181786;48.40747214;52669
-4.716105053;48.40750426;52672
-4.713507852;48.43579582;53067
-4.713335871;48.4352737;53061
-4.712837727;48.43585759;53071
-4.694164333;48.55110761;54597
-4.692728554;48.55467152;54656
-4.691833507;48.55460305;54654
-4.691823975;48.55463078;54655
-4.687266385;48.50097546;53808
-4.677506905;48.03722513;48520
-4.661276667;48.03324057;48475
-4.661204342;48.03329954;48476
-4.661042439;48.03339149;48478
-4.660603573;48.52870612;54201
-4.660583895;48.52857182;54197
-4.660566479;48.52854583;54196
-4.660548474;48.52833007;54188
-4.650270963;48.47055229;53482
-4.641979627;48.36031736;52141
-4.6419748;48.36019112;52138
-4.632778934;48.35916772;52125
-4.6279176;48.42861949;52957
-4.627906753;48.42863827;52958
-4.627856058;48.458604;53331
-4.627833047;48.4586326;53335
-4.627780444;48.42861026;52956
-4.621669755;48.38193995;52335
-4.621158458;48.38831815;52419
-4.621105982;48.38833057;52421
-4.620430275;48.38825664;52418
-4.618332198;48.44750384;53196
-4.617217616;48.56555619;54848
-4.617208911;48.56568327;54851
-4.617189763;48.56573873;54852
-4.612989109;48.35729032;52100
-4.611666602;48.44333235;53143
-4.610551402;48.03361157;48480
-4.608408407;48.56153968;54780
-4.60618384;48.52502627;54132
-4.60617863;48.52499045;54127
-4.606119045;48.5250485;54133
-4.606112533;48.52500373;54130
-4.602775585;48.37805927;52298
-4.602734624;48.37422049;52271
-4.602407767;48.38881174;52428
-4.602364835;48.38879642;52427
-4.596942548;48.06222088;48847
-4.585282151;48.27305924;51299
-4.583624848;48.27152071;51280
-4.583616784;48.27127718;51275
-4.583616602;48.2715574;51281
-4.582036422;48.43899863;53092
-4.581949992;48.4390584;53093
-4.581115778;48.49166656;53705
-4.575625404;48.37785976;52294
-4.575558697;48.37777365;52291
-4.575458917;48.37783428;52293
-4.57166265;48.42972132;52978
-4.571640915;48.42975886;52979
-4.571105178;48.36055183;52144
-4.570299608;48.46445945;53395
-4.570261802;48.46447994;53396
-4.567783336;48.58777933;55286
-4.567602689;48.5877547;55284
-4.563761082;48.36078732;52151
-4.563596711;48.36087015;52156
-4.561429982;48.03170575;48453
-4.561414817;48.03178809;48456
-4.561372186;48.03177276;48454
-4.558821078;48.46919662;53462
-4.558611391;48.01860703;48295
-4.55834007;48.4697244;53470
-4.555549667;48.42722689;52931
-4.554588401;48.42715273;52930
-4.554367946;48.42713066;52929
-4.55277425;48.17000309;50307
-4.548892179;48.54971826;54574
-4.546670524;48.51472411;53989
-4.545953051;48.41801554;52821
-4.545837512;48.41777889;52818
-4.545211542;48.37741057;52287
-4.54471865;48.37389011;52270
-4.5445055;48.37750084;52288
-4.543779437;48.42262786;52866
-4.537502891;48.38305413;52353
-4.536117398;48.57288742;54967
-4.535456223;48.57292942;54968
-4.533896598;48.61083658;55715
-4.533874761;48.61087411;55716
-4.532238646;48.37804841;52296
-4.532226489;48.37805822;52297
-4.531215118;48.38528063;52382
-4.530296463;48.39891383;52577
-4.528648079;48.40888792;52687
-4.527973696;48.37139721;52247
-4.527217016;48.56583479;54857
-4.526738682;48.48198586;53597
-4.526714191;48.37991876;52312
-4.526616227;48.37989788;52311
-4.525001557;48.38471841;52376
-4.524764475;48.38684833;52401
-4.52341732;48.38691602;52402
-4.523313608;48.38694973;52407
-4.522534084;48.0199853;48316
-4.522496577;48.02000578;48319
-4.522495301;48.01999683;48317
-4.521394792;48.39722112;52549
-4.52083252;48.57861055;55065
-4.520101124;48.22641002;50859
-4.519482382;48.40621765;52660
-4.517228744;48.22694583;50865
-4.514968881;48.40919777;52689
-4.514511619;48.43942961;53096
-4.514453315;48.43949657;53102
-4.514445606;48.43944284;53097
-4.514444994;48.43953325;53107
-4.514078085;48.4079078;52679
-4.513610525;48.408055;52682
-4.511931875;48.38308258;52354
-4.511788444;48.38302843;52352
-4.511774383;48.3831197;52355
-4.511572156;48.40036712;52591
-4.510002723;48.38278042;52346
-4.509922276;48.49049992;53696
-4.509703523;48.49058609;53697
-4.507501623;48.38805457;52416
-4.50731704;48.40448734;52646
-4.507228051;48.40471892;52647
-4.506938613;48.57138503;54951
-4.506367;48.3919766;52470
-4.505839805;48.53833646;54374
-4.505276502;48.39222659;52472
-4.505182861;48.39119323;52455
-4.504867818;48.39126746;52456
-4.504349295;48.38252498;52340
-4.503055176;48.38694514;52406
-4.502783154;48.0161152;48261
-4.501938602;48.41166997;52726
-4.500849923;48.38594639;52392
-4.500792296;48.38592294;52391
-4.500000929;48.49972249;53797
-4.499698692;48.4022777;52617
-4.499165957;48.38555619;52384
-4.497366646;48.40979099;52702
